Date;Price
14.2.2012;173,428
15.2.2012;172,459
16.2.2012;171,57
17.2.2012;173,428
20.2.2012;174,155
21.2.2012;174,478
22.2.2012;173,67
23.2.2012;174,074
24.2.2012;174,882
27.2.2012;175,932
28.2.2012;174,397
29.2.2012;173,67
1.3.2012;175,771
2.3.2012;174,963
5.3.2012;174,397
6.3.2012;170,52
7.3.2012;170,843
8.3.2012;174,64
9.3.2012;176,74
12.3.2012;174,963
13.3.2012;175,932
14.3.2012;176,094
15.3.2012;174,317
16.3.2012;174,155
19.3.2012;175,609
20.3.2012;174,478
21.3.2012;175,771
22.3.2012;177,871
23.3.2012;187,483
26.3.2012;185,868
27.3.2012;183,848
28.3.2012;183,848
29.3.2012;180,456
30.3.2012;182,879
2.4.2012;184,656
3.4.2012;184,091
4.4.2012;179,405
5.4.2012;179,567
6.4.2012;179,567
9.4.2012;179,567
10.4.2012;176,578
11.4.2012;172,216
12.4.2012;177,305
13.4.2012;175,286
16.4.2012;174,236
17.4.2012;177,467
18.4.2012;175,044
19.4.2012;174,72
20.4.2012;176,255
23.4.2012;170,358
24.4.2012;172,62
25.4.2012;174,478
26.4.2012;174,559
27.4.2012;171,974
30.4.2012;170,278
1.5.2012;175,205
2.5.2012;172,459
3.5.2012;174,397
4.5.2012;173,59
7.5.2012;173,59
8.5.2012;173,266
9.5.2012;175,447
10.5.2012;170,843
11.5.2012;169,389
14.5.2012;165,512
15.5.2012;167,45
16.5.2012;167,289
17.5.2012;163,573
18.5.2012;164,785
21.5.2012;164,139
22.5.2012;167,854
23.5.2012;165,512
24.5.2012;166,562
25.5.2012;166,723
28.5.2012;165,835
29.5.2012;166,804
30.5.2012;166,077
31.5.2012;166,643
1.6.2012;164,139
4.6.2012;164,139
5.6.2012;164,139
6.6.2012;164,785
7.6.2012;165,916
8.6.2012;166,804
11.6.2012;167,45
12.6.2012;170,924
13.6.2012;168,904
14.6.2012;162,927
15.6.2012;162,523
18.6.2012;163,089
19.6.2012;164,543
20.6.2012;163,735
21.6.2012;162,765
22.6.2012;165,593
25.6.2012;162,362
26.6.2012;162,119
27.6.2012;165,916
28.6.2012;167,531
29.6.2012;170,762
2.7.2012;173,913
3.7.2012;172,782
4.7.2012;173,347
5.7.2012;172,136
6.7.2012;173,832
9.7.2012;174,559
10.7.2012;175,528
11.7.2012;176,982
12.7.2012;173,428
13.7.2012;179,567
16.7.2012;179,244
17.7.2012;178,355
18.7.2012;182,394
19.7.2012;185,383
20.7.2012;181,263
23.7.2012;177,386
24.7.2012;175,609
25.7.2012;169,793
26.7.2012;175,528
27.7.2012;176,255
30.7.2012;176,821
31.7.2012;175,528
1.8.2012;176,74
2.8.2012;172,216
3.8.2012;174,72
6.8.2012;177,548
7.8.2012;181,263
8.8.2012;183,75
9.8.2012;179,274
10.8.2012;181,346
13.8.2012;181,015
14.8.2012;180,766
15.8.2012;180,435
16.8.2012;179,937
17.8.2012;181,761
20.8.2012;181,015
21.8.2012;181,678
22.8.2012;178,611
23.8.2012;179,689
24.8.2012;178,362
27.8.2012;178,362
28.8.2012;181,926
29.8.2012;182,258
30.8.2012;181,098
31.8.2012;180,352
3.9.2012;184,413
4.9.2012;183,418
5.9.2012;184,33
6.9.2012;187,148
7.9.2012;188,971
10.9.2012;189,634
11.9.2012;187,728
12.9.2012;194,939
13.9.2012;196,265
14.9.2012;193,115
17.9.2012;189,137
18.9.2012;188,225
19.9.2012;188,723
20.9.2012;189,303
21.9.2012;192,287
24.9.2012;193,53
25.9.2012;194,773
26.9.2012;191,375
27.9.2012;191,955
28.9.2012;191,209
1.10.2012;192,37
2.10.2012;192,618
3.10.2012;192,784
4.10.2012;191,955
5.10.2012;193,944
8.10.2012;188,06
9.10.2012;183,75
10.10.2012;181,844
11.10.2012;183,087
12.10.2012;181,263
15.10.2012;179,854
16.10.2012;182,258
17.10.2012;183,998
18.10.2012;185,159
19.10.2012;181,429
22.10.2012;181,844
